Learning rate: 0.0001, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.6543, Train Acc: 0.6199, Train F1: 0.6292, Val Loss: 0.5991, Val Acc: 0.7383, Val F1: 0.7255, Test Loss: 0.6050, Test Acc: 0.7453, Test F1: 0.7169
Epoch [2/10], Train Loss: 0.5673, Train Acc: 0.7246, Train F1: 0.7308, Val Loss: 0.5330, Val Acc: 0.7561, Val F1: 0.7512, Test Loss: 0.5324, Test Acc: 0.7480, Test F1: 0.7273
Epoch [3/10], Train Loss: 0.5181, Train Acc: 0.7501, Train F1: 0.7549, Val Loss: 0.5017, Val Acc: 0.7630, Val F1: 0.7669, Test Loss: 0.4950, Test Acc: 0.7642, Test F1: 0.7549
Epoch [4/10], Train Loss: 0.4924, Train Acc: 0.7645, Train F1: 0.7689, Val Loss: 0.4875, Val Acc: 0.7680, Val F1: 0.7710, Test Loss: 0.4722, Test Acc: 0.7669, Test F1: 0.7571
Epoch [5/10], Train Loss: 0.4762, Train Acc: 0.7714, Train F1: 0.7744, Val Loss: 0.4776, Val Acc: 0.7708, Val F1: 0.7747, Test Loss: 0.4609, Test Acc: 0.7724, Test F1: 0.7667
Epoch [6/10], Train Loss: 0.4665, Train Acc: 0.7789, Train F1: 0.7817, Val Loss: 0.4774, Val Acc: 0.7719, Val F1: 0.7754, Test Loss: 0.4578, Test Acc: 0.7751, Test F1: 0.7688
Epoch [7/10], Train Loss: 0.4629, Train Acc: 0.7816, Train F1: 0.7839, Val Loss: 0.4765, Val Acc: 0.7714, Val F1: 0.7748, Test Loss: 0.4749, Test Acc: 0.7751, Test F1: 0.7688
Epoch [8/10], Train Loss: 0.4626, Train Acc: 0.7816, Train F1: 0.7836, Val Loss: 0.4758, Val Acc: 0.7728, Val F1: 0.7773, Test Loss: 0.4627, Test Acc: 0.7805, Test F1: 0.7769
Epoch [9/10], Train Loss: 0.4602, Train Acc: 0.7825, Train F1: 0.7857, Val Loss: 0.4748, Val Acc: 0.7721, Val F1: 0.7721, Test Loss: 0.4798, Test Acc: 0.7778, Test F1: 0.7670
Epoch [10/10], Train Loss: 0.4592, Train Acc: 0.7846, Train F1: 0.7863, Val Loss: 0.4746, Val Acc: 0.7731, Val F1: 0.7739, Test Loss: 0.4772, Test Acc: 0.7778, Test F1: 0.7670


Learning rate: 0.001, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5263, Train Acc: 0.7314, Train F1: 0.7341, Val Loss: 0.4607, Val Acc: 0.7824, Val F1: 0.7754, Test Loss: 0.4476, Test Acc: 0.7751, Test F1: 0.7552
Epoch [2/10], Train Loss: 0.4375, Train Acc: 0.7962, Train F1: 0.7970, Val Loss: 0.4360, Val Acc: 0.7980, Val F1: 0.8033, Test Loss: 0.4093, Test Acc: 0.8238, Test F1: 0.8219
Epoch [3/10], Train Loss: 0.3911, Train Acc: 0.8227, Train F1: 0.8228, Val Loss: 0.4233, Val Acc: 0.8041, Val F1: 0.7971, Test Loss: 0.4066, Test Acc: 0.8130, Test F1: 0.7977
Epoch [4/10], Train Loss: 0.3513, Train Acc: 0.8443, Train F1: 0.8444, Val Loss: 0.4226, Val Acc: 0.8032, Val F1: 0.8148, Test Loss: 0.3747, Test Acc: 0.8184, Test F1: 0.8232
Epoch [5/10], Train Loss: 0.3144, Train Acc: 0.8646, Train F1: 0.8650, Val Loss: 0.4166, Val Acc: 0.8128, Val F1: 0.8020, Test Loss: 0.4251, Test Acc: 0.8103, Test F1: 0.7904
Epoch [6/10], Train Loss: 0.2547, Train Acc: 0.9028, Train F1: 0.9027, Val Loss: 0.4094, Val Acc: 0.8136, Val F1: 0.8150, Test Loss: 0.3797, Test Acc: 0.8347, Test F1: 0.8291
Epoch [7/10], Train Loss: 0.2424, Train Acc: 0.9086, Train F1: 0.9085, Val Loss: 0.4108, Val Acc: 0.8145, Val F1: 0.8156, Test Loss: 0.3686, Test Acc: 0.8374, Test F1: 0.8324
Epoch [8/10], Train Loss: 0.2350, Train Acc: 0.9121, Train F1: 0.9118, Val Loss: 0.4135, Val Acc: 0.8106, Val F1: 0.8156, Test Loss: 0.3821, Test Acc: 0.8347, Test F1: 0.8310
Epoch [9/10], Train Loss: 0.2262, Train Acc: 0.9166, Train F1: 0.9165, Val Loss: 0.4099, Val Acc: 0.8158, Val F1: 0.8158, Test Loss: 0.3659, Test Acc: 0.8320, Test F1: 0.8249
Epoch [10/10], Train Loss: 0.2199, Train Acc: 0.9185, Train F1: 0.9184, Val Loss: 0.4115, Val Acc: 0.8156, Val F1: 0.8146, Test Loss: 0.3898, Test Acc: 0.8293, Test F1: 0.8215


Learning rate: 0.01, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.5279, Train Acc: 0.7347, Train F1: 0.7353, Val Loss: 0.4642, Val Acc: 0.7811, Val F1: 0.7922, Test Loss: 0.4309, Test Acc: 0.7967, Test F1: 0.8000
Epoch [2/10], Train Loss: 0.4615, Train Acc: 0.7809, Train F1: 0.7806, Val Loss: 0.4710, Val Acc: 0.7760, Val F1: 0.7972, Test Loss: 0.4193, Test Acc: 0.8211, Test F1: 0.8316
Epoch [3/10], Train Loss: 0.4356, Train Acc: 0.7995, Train F1: 0.7989, Val Loss: 0.4501, Val Acc: 0.7927, Val F1: 0.7817, Test Loss: 0.4379, Test Acc: 0.7751, Test F1: 0.7537
Epoch [4/10], Train Loss: 0.4151, Train Acc: 0.8118, Train F1: 0.8109, Val Loss: 0.4417, Val Acc: 0.8028, Val F1: 0.8019, Test Loss: 0.4008, Test Acc: 0.8157, Test F1: 0.8079
Epoch [5/10], Train Loss: 0.3976, Train Acc: 0.8229, Train F1: 0.8220, Val Loss: 0.4388, Val Acc: 0.7950, Val F1: 0.7999, Test Loss: 0.3917, Test Acc: 0.8130, Test F1: 0.8089
Epoch [6/10], Train Loss: 0.3398, Train Acc: 0.8512, Train F1: 0.8512, Val Loss: 0.4421, Val Acc: 0.7998, Val F1: 0.8018, Test Loss: 0.4022, Test Acc: 0.8266, Test F1: 0.8242
Epoch [7/10], Train Loss: 0.3202, Train Acc: 0.8609, Train F1: 0.8609, Val Loss: 0.4498, Val Acc: 0.7977, Val F1: 0.8037, Test Loss: 0.3984, Test Acc: 0.8130, Test F1: 0.8160
Epoch [8/10], Train Loss: 0.3105, Train Acc: 0.8656, Train F1: 0.8653, Val Loss: 0.4533, Val Acc: 0.7991, Val F1: 0.7981, Test Loss: 0.4082, Test Acc: 0.8049, Test F1: 0.7955
Epoch [9/10], Train Loss: 0.2980, Train Acc: 0.8700, Train F1: 0.8701, Val Loss: 0.4556, Val Acc: 0.8030, Val F1: 0.8032, Test Loss: 0.3963, Test Acc: 0.8293, Test F1: 0.8255
Epoch [10/10], Train Loss: 0.2873, Train Acc: 0.8778, Train F1: 0.8778, Val Loss: 0.4621, Val Acc: 0.8030, Val F1: 0.8017, Test Loss: 0.4046, Test Acc: 0.8157, Test F1: 0.8090


Learning rate: 0.1, Epochs: 10, Align Length: 80, Batch Size: 50, Neural Name: CNN, Hidden Size: 128, Number of Layers: 2, Dropout: 0.3, Number of Filters: 64, Update Word2Vec: False
Epoch [1/10], Train Loss: 0.8086, Train Acc: 0.6658, Train F1: 0.6630, Val Loss: 0.6236, Val Acc: 0.6731, Val F1: 0.6329, Test Loss: 0.6327, Test Acc: 0.6314, Test F1: 0.5696
Epoch [2/10], Train Loss: 0.6518, Train Acc: 0.6196, Train F1: 0.6081, Val Loss: 0.6434, Val Acc: 0.6378, Val F1: 0.7069, Test Loss: 0.6002, Test Acc: 0.6694, Test F1: 0.7189
Epoch [3/10], Train Loss: 0.6713, Train Acc: 0.5958, Train F1: 0.6612, Val Loss: 0.6821, Val Acc: 0.6728, Val F1: 0.6744, Test Loss: 0.6977, Test Acc: 0.7019, Test F1: 0.6927
Epoch [4/10], Train Loss: 0.6632, Train Acc: 0.5975, Train F1: 0.6413, Val Loss: 0.6283, Val Acc: 0.6385, Val F1: 0.4883, Test Loss: 0.6008, Test Acc: 0.6396, Test F1: 0.4825
Epoch [5/10], Train Loss: 0.6848, Train Acc: 0.5425, Train F1: 0.5712, Val Loss: 0.6964, Val Acc: 0.5052, Val F1: 0.0252, Test Loss: 0.7029, Test Acc: 0.4959, Test F1: 0.0106
Epoch [6/10], Train Loss: 0.6565, Train Acc: 0.5922, Train F1: 0.6761, Val Loss: 0.6145, Val Acc: 0.6687, Val F1: 0.7039, Test Loss: 0.6305, Test Acc: 0.6694, Test F1: 0.6950
Epoch [7/10], Train Loss: 0.6148, Train Acc: 0.6398, Train F1: 0.6957, Val Loss: 0.5778, Val Acc: 0.6994, Val F1: 0.7258, Test Loss: 0.5634, Test Acc: 0.7073, Test F1: 0.7313
Epoch [8/10], Train Loss: 0.5976, Train Acc: 0.6558, Train F1: 0.6615, Val Loss: 0.5617, Val Acc: 0.7159, Val F1: 0.6968, Test Loss: 0.5569, Test Acc: 0.7236, Test F1: 0.6964
